"","stream","start_date","end_date","mean_flow","sd_flow","deployment","days_in_record"
"148","WS32",2018-02-08,2018-04-06,34.0771591637931,19.0047439063339,"6",58
"149","WS32",2018-03-08,2018-05-09,25.8704787630159,6.69357749987518,"7",63
"150","WS32",2018-04-06,2018-06-06,35.4270982682258,28.5834355562167,"8",62
"151","WS32",2018-05-09,2018-07-05,38.9354366218965,28.5980937680735,"9",58
"152","WS32",2018-06-06,2018-08-03,27.3841650983051,14.7459554659035,"10",59
"153","WS32",2018-07-05,2018-08-31,21.8108676577586,12.9525836594967,"11",58
"154","WS32",2018-08-03,2018-09-28,19.001711745614,13.210741368546,"12",57
"155","WS36",2017-09-21,2017-11-15,23.83028067125,23.9119247210796,"1",56
"156","WS36",2017-10-19,2017-12-11,22.4274562768519,16.576107137074,"2a",54
"157","WS36",2017-10-19,2017-12-18,21.3626574840984,15.8647355571553,"2b",61
"158","WS36",2017-11-15,2018-01-05,16.7454838853846,5.09607336738543,"3",52
"159","WS36",2017-12-11,2018-02-08,27.512687114,18.4595259663142,"4a",60
"160","WS36",2017-12-18,2018-02-08,29.4315666492453,18.8259173084386,"4b",53
"161","WS36",2018-01-11,2018-03-08,56.3318916501754,59.2977205717263,"5",57
"162","WS36",2018-02-08,2018-04-06,50.2358536874138,59.2401870114011,"6",58
"163","WS36",2018-03-08,2018-05-09,36.0492798346032,28.6815948174268,"7",63
"164","WS36",2018-04-06,2018-06-06,61.6397644104839,74.6400459655568,"8",62
"165","WS36",2018-05-09,2018-07-05,51.3038174486207,75.7181950105057,"9",58
"166","WS36",2018-06-06,2018-08-03,26.9966199781356,35.4433742523743,"10",59
"167","WS36",2018-07-05,2018-08-31,30.4478208817241,37.3635923486073,"11",58
"168","WS36",2018-08-03,2018-09-28,25.8717572288772,36.0529102656701,"12",57
