"","stream","start_date","end_date","mean_temp","sd_temp","deployment","days_in_record"
"93","WS14",2018-03-08,2018-05-09,10.2313948755939,2.31781341148336,"7",63
"94","WS14",2018-04-06,2018-06-06,12.8241048615913,2.36995664793143,"8",62
"95","WS14",2018-05-09,2018-07-05,15.7100168821839,1.00950853797594,"9",58
"96","WS14",2018-06-06,2018-08-03,16.896040960452,0.853556511299903,"10",59
"97","WS14",2018-07-05,2018-08-31,17.3169039152299,0.434704458453448,"11",58
"98","WS14",2018-08-03,2018-09-28,17.5747191154971,0.574103040671404,"12",57
"99","WS18",2017-09-21,2017-11-15,13.7242907366071,2.92449858403405,"1",56
"100","WS18",2017-10-19,2017-12-11,9.50638348765432,2.54648924085709,"2a",54
"101","WS18",2017-10-19,2017-12-18,8.81834306693989,3.07876726297964,"2b",61
"102","WS18",2017-11-15,2018-01-05,5.94388040865385,2.78522666357119,"3",52
"103","WS18",2017-12-11,2018-02-08,4.03916024305556,2.33528235761743,"4a",60
"104","WS18",2017-12-18,2018-02-08,4.12706485849057,2.47000220146725,"4b",53
"105","WS18",2018-01-11,2018-03-08,7.35071700939507,3.4293426533954,"5",57
"106","WS18",2018-02-08,2018-04-06,9.86164639341638,2.27333763268129,"6",58
"107","WS18",2018-03-08,2018-05-09,10.433666520923,2.24128410356631,"7",63
"108","WS18",2018-04-06,2018-06-06,12.8685203385996,2.05665662680786,"8",62
"109","WS18",2018-05-09,2018-07-05,15.4389145946764,0.99549806618433,"9",58
"110","WS18",2018-06-06,2018-08-03,16.7102198910943,0.932030617242705,"10",59
"111","WS18",2018-07-05,2018-08-31,17.2042821479885,0.437447924481338,"11",58
"112","WS18",2018-08-03,2018-09-28,17.4581614998671,0.59300358960657,"12",57
"113","WS27",2017-09-21,2017-11-15,12.7294670758929,2.51694856068708,"1",56
"114","WS27",2017-10-19,2017-12-11,9.07435146604938,2.14373632536981,"2a",54
"115","WS27",2017-10-19,2017-12-18,8.51095850409836,2.5633324217235,"2b",61
"116","WS27",2017-11-15,2018-01-05,5.87256290064103,2.40738723601187,"3",52
"117","WS27",2017-12-11,2018-02-08,3.64148385416667,1.81604451071121,"4a",60
"118","WS27",2017-12-18,2018-02-08,3.58036360062893,1.92153920269309,"4b",53
"119","WS27",2018-01-11,2018-03-08,5.92081934842402,2.83131374378593,"5",57
"120","WS27",2018-02-08,2018-04-06,8.44457824966052,2.11668783422864,"6",58
"121","WS27",2018-03-08,2018-05-09,8.91480930788852,1.98791746710246,"7",63
"122","WS27",2018-04-06,2018-06-06,11.0890502513729,2.28372359332033,"8",62
"123","WS27",2018-05-09,2018-07-05,14.038810704023,1.08361666834382,"9",58
"124","WS27",2018-06-06,2018-08-03,15.4926133474576,1.00523174587871,"10",59
"125","WS27",2018-07-05,2018-08-31,16.0678653017241,0.357112827286095,"11",58
"126","WS27",2018-08-03,2018-09-28,16.1869983030493,0.409178471350281,"12",57
"127","WS31",2017-09-21,2017-11-15,13.5104450334822,2.06691126955035,"1",56
"128","WS31",2017-10-19,2017-12-11,10.5186657021605,1.99751031963154,"2a",54
"129","WS31",2017-10-19,2017-12-18,10.0339257172131,2.3270923604101,"2b",61
"130","WS31",2017-11-15,2018-01-05,7.82650981570513,2.29366056089876,"3",52
"131","WS31",2017-12-11,2018-02-08,6.51477152777778,2.06754179628162,"4a",60
"132","WS31",2017-12-18,2018-02-08,6.57142806603773,2.19050614883437,"4b",53
"133","WS31",2018-01-11,2018-03-08,8.74415867627846,2.44162596811581,"5",57
"134","WS31",2018-02-08,2018-04-06,10.4966382625185,1.73537625362674,"6",58
"135","WS31",2018-03-08,2018-05-09,11.1433658805726,1.7871426074376,"7",63
"136","WS31",2018-04-06,2018-06-06,12.9735603648088,1.54965682659032,"8",62
"137","WS31",2018-05-09,2018-07-05,14.9036734913793,0.846046846880087,"9",58
"138","WS31",2018-06-06,2018-08-03,15.9436400070621,0.780443236498707,"10",59
"139","WS31",2018-07-05,2018-08-31,16.2493478807471,0.365585542752832,"11",58
"140","WS31",2018-08-03,2018-09-28,16.3655140716374,0.438959296786944,"12",57
"141","WS32",2017-09-21,2017-11-15,13.4534690290179,2.30134219090825,"1",56
"142","WS32",2017-10-19,2017-12-11,10.0276768904321,2.29717331671631,"2a",54
