"","stream","start_date","end_date","mean_nh4.mgl","sd_nh4.mgl","N_nh4.mgl","mean_no3.mgl","sd_no3.mgl","N_no3.mgl","mean_po4.mgl","sd_po4.mgl","N_po4.mgl","mean_din.mgl","sd_din.mgl","N_din.mgl","deployment"
"125","WS13",2018-12-05,2019-02-06,0.00244444444444444,0.00113038833052088,9,0.001076714,0.000304130547394536,9,0.00201496488888889,5.94048558230816e-05,9,0.00352115844444444,0.000994135135500339,9,4
"126","WS13",2019-01-07,2019-03-06,0.00211111111111111,0.000600925212577332,9,0.00142046488888889,0.000200413804214832,9,0.00197719633333333,3.87278110729228e-05,9,0.003531576,0.000744410224143079,9,5
"127","WS13",2019-02-06,2019-04-03,0.0025,0.00119522860933439,8,0.001948228875,0.000516071650417552,8,0.001983392375,3.06934507343528e-05,8,0.004448228875,0.00130823024614787,8,6
"128","WS13",2019-03-06,2019-05-08,0.003,0.0014142135623731,9,0.00297633244444444,0.000884424324174787,9,0.00199242144444444,4.91711994060322e-05,9,0.00597633244444444,0.00184145856189924,9,7
"129","WS13",2019-04-03,2019-06-05,0.00255555555555556,0.00123603308118261,9,0.00583888988888889,0.00339498412739539,9,0.00200415,4.96067885248582e-05,9,0.00839444544444445,0.00290364798864003,9,8
"130","WS13",2019-05-08,2019-07-10,0.00177777777777778,0.000666666666666667,9,0.00972255388888889,0.0034886484292789,9,0.00217832366666667,0.000490959907369227,9,0.0115003316666667,0.00357918300761487,9,9
"131","WS13",2019-06-05,2019-08-07,0.00211111111111111,0.00105409255338946,9,0.0123048043333333,0.0038882556008478,9,0.00237470344444444,0.000635785700760506,9,0.0144159154444444,0.00458977043492395,9,10
"132","WS13",2019-07-10,2019-08-30,0.00242857142857143,0.000975900072948533,7,0.0152632345714286,0.00441531164492941,7,0.00225262742857143,0.000555143266634796,7,0.017691806,0.00502319522841803,7,11
"133","WS14",2018-08-31,2018-11-02,0.00212551766666667,0.000571806489827634,9,0.0138079778888889,0.00631728937435243,9,0.00200497388888889,7.72085279930987e-05,9,0.0159334955555556,0.00634382657412851,9,1
"134","WS14",2018-09-28,2018-12-05,0.0017129659,0.000938888687678322,10,0.0059,0.00681044948753181,10,0.0019914991,6.58128185208288e-05,10,0.0076129659,0.00718448607696282,10,2
"135","WS14",2018-11-02,2019-01-07,0.00188888888888889,0.00126929551764398,9,0.001594269,0.00101737837073972,9,0.00187431866666667,0.000352331301470647,9,0.00348315788888889,0.00220674808493405,9,3
"136","WS14",2018-12-05,2019-02-06,0.00255555555555556,0.00113038833052088,9,0.00271803233333333,0.000656362094724779,9,0.00184871144444444,0.000353738549444046,9,0.00527358788888889,0.00164977348763478,9,4
"137","WS14",2019-01-07,2019-03-06,0.00211111111111111,0.00105409255338946,9,0.00296673466666667,0.000319161228771212,9,0.001950846,0.000105767216044245,9,0.00507784577777778,0.00117748952623588,9,5
"138","WS14",2019-02-06,2019-04-03,0.002,0.000755928946018455,8,0.003628027125,0.00113286591973485,8,0.001966809625,6.02127391289477e-05,8,0.005628027125,0.00148204387561217,8,6
"139","WS14",2019-03-06,2019-05-08,0.00277777777777778,0.000666666666666667,9,0.00612605344444444,0.0024234300764919,9,0.00200721822222222,4.98275822531501e-05,9,0.00890383122222222,0.00288867720631991,9,7
"140","WS14",2019-04-03,2019-06-05,0.003,5e-04,9,0.0144736263333333,0.0104464694929246,9,0.00250309711111111,0.000931847644992791,9,0.0174736263333333,0.0105277070683318,9,8
"141","WS14",2019-05-08,2019-07-10,0.00255555555555556,0.000726483157256779,9,0.0244460974444444,0.00954724084798684,9,0.00317748633333333,0.000800557219359741,9,0.027001653,0.0097679577845981,9,9
"142","WS14",2019-06-05,2019-08-07,0.00211111111111111,0.000781735959970572,9,0.0281794505555556,0.00846770523144689,9,0.00322621422222222,0.000777063715782975,9,0.0302905616666667,0.00887930313194089,9,10
"143","WS14",2019-07-10,2019-08-30,0.00242857142857143,0.000786795792469443,7,0.0328358257142857,0.00865810873300915,7,0.00402359442857143,0.00219489490454402,7,0.0352643971428571,0.00897425282334809,7,11
"144","WS17",2018-08-31,2018-11-02,0.00168446133333333,0.000690041920071527,9,0.150466336111111,0.0128863031438776,9,0.00199684244444444,6.46865232025016e-05,9,0.152150797444444,0.0130851275796696,9,1
"145","WS17",2018-09-28,2018-12-05,0.001817774,0.000609557977995348,10,0.15984,0.0440152296875121,10,0.0020159034,7.65737865681055e-05,10,0.161657774,0.0442130686174685,10,2
"146","WS17",2018-11-02,2019-01-07,0.00179752666666667,0.000404220306763527,9,0.162659207333333,0.0474597985712633,9,0.00209231455555556,0.000223775638470272,9,0.164456734,0.047638734940908,9,3
"147","WS17",2018-12-05,2019-02-06,0.00190749611111111,0.000571850264611385,9,0.145236588333333,0.0204756333189365,9,0.002186425,0.000282015046659748,9,0.147144084444444,0.0204650981424498,9,4
"148","WS17",2019-01-07,2019-03-06,0.00224082944444444,0.000946779088173571,9,0.130748901222222,0.00619185756464085,9,0.00225514,0.0012367492763027,9,0.132989730666667,0.00582069279571594,9,5
"149","WS17",2019-02-06,2019-04-03,0.00275,0.00128173988892331,8,0.12214134775,0.00895780652746216,8,0.002939767125,0.001452123220742,8,0.12489134775,0.00823682656890994,8,6
"150","WS17",2019-03-06,2019-05-08,0.00288888888888889,0.00105409255338946,9,0.119449331444444,0.00568674899715624,9,0.00259105411111111,0.00125191464282618,9,0.122338220333333,0.00556221658863441,9,7
"151","WS17",2019-04-03,2019-06-05,0.00322222222222222,0.00268224615657185,9,0.122798809555556,0.00385322083562531,9,0.00310519244444444,0.00182222064519552,9,0.126021031777778,0.00426845779817064,9,8
