"","bag_ID","rhodo_acer","DM_start_g","DM_end_g","tin_g","tin_DM_g","tin_ash_g","date_dep","date_coll","stream","QC","hole","notes","unique.id","DM_start_handloss_g","afdm_start","prop_sample_afdm","afdm_final","percent_afdm_rem_C","bag_n"
"44","C0044","A",5.02,3.91,3.6218,5.1555,3.8142,2017-09-21,2017-11-15,"WS13","","","","C0044/A/2017-09-21/2017-11-15/WS13",4.6675,4.44590018916732,0.874551737627958,3.41949729412532,76.9134966740169,"0044"
"45","C0045","A",5.07,2.98,3.6086,5.5941,3.9355,2017-09-21,2017-11-15,"WS13","","","","C0045/A/2017-09-21/2017-11-15/WS13",4.7175,4.49352632938336,0.835356333417275,2.48936187358348,55.3988491689797,"0045"
"46","C0046","A",4.92,2.35,3.661,5.0939,3.8945,2017-09-21,2017-11-15,"WS08","","","","C0046/A/2017-09-21/2017-11-15/WS08",4.5675,4.35064790873524,0.837043757415033,1.96705282992533,45.2128710754983,"0046"
"47","C0047","A",5.02,2.74,3.6059,4.8619,3.7502,2017-09-21,2017-11-15,"WS08","","","","C0047/A/2017-09-21/2017-11-15/WS08",4.6675,4.44590018916732,0.885111464968153,2.42520541401274,54.5492546126403,"0047"
"48","C0048","A",5,1.68,3.6108,4.7533,3.756,2017-09-21,2017-11-15,"WS08","","","","C0048/A/2017-09-21/2017-11-15/WS08",4.6475,4.4268497330809,0.872910284463895,1.46648927789934,33.127152858625,"0048"
"50","C0050","A",5.01,0.17,3.65,3.7882,3.6733,2017-09-21,2017-11-15,"WS01","","","","C0050/A/2017-09-21/2017-11-15/WS01",4.6575,4.43637496112411,0.831403762662808,0.141338639652677,3.18590382668791,"0050"
"51","C0051","A",4.94,1.47,3.6222,4.847,4.0507,2017-09-21,2017-11-15,"WS01","","","","C0051/A/2017-09-21/2017-11-15/WS01",4.5875,4.36969836482166,0.650146962769432,0.955716035271065,21.8714418131255,"0051"
"52","C0052","A",5.08,0.39,2.0763,2.4273,2.131,2017-09-21,2017-11-15,"WS01","","","","C0052/A/2017-09-21/2017-11-15/WS01",4.7275,4.50305155742657,0.844159544159544,0.329222222222222,7.3110915569967,"0052"
"53","C0053","A",5.1,0.87,2.0166,2.692,2.1244,2017-09-21,2017-11-15,"WS01","","","","C0053/A/2017-09-21/2017-11-15/WS01",4.7475,4.52210201351298,0.840390879478827,0.73114006514658,16.1681462063832,"0053"
"54","C0054","A",4.94,2.71,1.76,3.5188,2.1064,2017-09-21,2017-11-15,"WS02","","","","C0054/A/2017-09-21/2017-11-15/WS02",4.5875,4.36969836482166,0.80304753240846,2.17625881282693,49.8034104675724,"0054"
