Boat_ID,Boat wt (g),Stream,Core,Sample_Date,OM_Type,Sorting Date,Dry_Mass,Ashed,Period,NOTES
56 SJ,1.6447,TOWR,1,8/15/18,MISC,9/11/18,3.8973,3.429,1,
JE 11,1.7544,TOWR,1,8/15/18,FLWR,9/11/18,1.8071,1.7558,1,
3SJ,1.6459,TOWR,1,8/15/18,MOSS,9/11/18,1.6607,1.6483,1,
TS42,1.6644,WS55,3,8/15/18,MOSS,9/11/18,1.6791,1.6704,1,
NA,NA,WS55,3,8/15/18,FLWR,9/11/18,NA,NA,1,NONE
18SJ,1.6523,WS55,3,8/15/18,MISC,9/11/18,4.5911,3.4989,1,
SR 4-1,1.6516,WS55,3,8/15/18,WOOD,9/11/18,2.0608,1.6665,1,
E20,3.6612,WS55,3,8/15/18,ROOT,9/11/18,4.0117,3.6739,1,
B16,3.8255,WS55,3,8/15/18,LEAF,9/11/18,4.2976,3.8491,1,
SR 1-2 ,1.6661,WS55,5,9/14/18,ROOT,9/19/18,1.72,1.6671,1,
SR 22,1.6558,WS55,5,9/14/18,LEAF,9/19/18,3.5675,1.7556,1,
B56,3.8389,WS55,5,9/14/18,WOOD,9/19/18,12.6887,4.2896,1,
E16,3.7323,WS55,5,9/14/18,MISC,9/19/18,8.5753,6.1,1,
B,1.7334,WS55,5,9/14/18,FLWR,9/19/18,2.3262,1.756,1,
A,1.726,WS55,5,9/14/18,MOSS,9/19/18,1.7352,1.7273,1,
31SJ,1.651,WS55,1,9/14/18,LEAF,9/18/18,1.7077,1.6526,1,
24SJ,1.6567,WS55,1,9/14/18,ROOT,9/18/18,1.6787,1.6551,1,
B12,3.6537,WS55,1,9/14/18,WOOD,9/18/18,10.4638,3.8912,1,
14SJ,1.6488,WS55,1,9/14/18,MISC,9/18/18,3.8138,2.7712,1,
34SJ,1.6501,WS55,1,9/14/18,FLWR,9/18/18,2.2574,1.7093,1,
74SJ,1.6569,WS55,1,9/14/18,MOSS,9/18/18,1.668,1.6582,1,
E20,3.6675,WS55,3,9/14/18,LEAF,9/24/18,4.8831,3.728,1,
69SJ,1.656,WS55,3,9/14/18,ROOT,9/24/18,2.4671,1.6882,1,
A93,1.7944,WS55,3,9/14/18,WOOD,9/24/18,4.175,1.8772,1,
B7,3.726,WS55,3,9/14/18,MISC,9/24/18,5.408,4.7504,1,
1SJ,1.6633,WS55,3,9/14/18,MOSS,9/24/18,1.667,1.6618,1,
32SJ,1.6612,WS55,3,9/14/18,FLWR,9/24/18,1.6628,1.6512,1,
B16,3.8253,WS55,2,9/14/18,LEAF,9/20/18,5.5372,3.9094,1,
18SJ,1.6535,WS55,2,9/14/18,ROOT,9/20/18,1.704,1.6558,1,
B66,3.7113,WS55,2,9/14/18,WOOD,9/20/18,11.6045,4.0012,1,
TS 42,1.6641,WS55,2,9/14/18,MISC,9/20/18,3.8712,2.6971,1,
JE 11,1.7546,WS55,2,9/14/18,FLWR,9/20/18,1.8042,1.7564,1,
BM 41,1.731,WS55,2,9/14/18,MOSS,9/20/18,1.737,1.7321,1,
R,3.7263,WS55,4,9/14/18,WOOD,9/25/18,7.5287,3.8858,1,
E48,3.6108,WS55,4,9/14/18,LEAF,9/25/18,4.6968,3.6643,1,
B64,3.6238,WS55,4,9/14/18,ROOT,9/25/18,5.1241,3.6744,1,
E12,3.6898,WS55,4,9/14/18,MISC,9/25/18,5.3313,4.3454,1,
A58,1.8189,WS55,4,9/14/18,FLWR,9/25/18,2.8746,1.8482,1,
A44,1.8249,WS55,4,9/14/18,MOSS,9/25/18,1.8349,1.8249,1,
SR 41,1.6515,TOWR,1,9/14/18,LEAF,9/25/18,1.8186,1.6589,1,
56SJ,1.6453,TOWR,1,9/14/18,ROOT,9/25/18,1.7603,1.6472,1,
35J,1.6454,TOWR,1,9/14/18,WOOD,9/25/18,2.6162,1.6916,1,
4SSJ,1.6493,TOWR,1,9/14/18,MISC,9/25/18,2.3116,1.8439,1,
B5,1.6918,TOWR,1,9/14/18,FLWR,9/25/18,1.7056,1.6924,1,
NA,NA,TOWR,1,9/14/18,MOSS,9/25/18,NA,NA,1,NONE
B78,3.66,TOWR,3,9/14/18,LEAF,9/25/18,4.5,3.6626,1,
Q2,1.7633,TOWR,3,9/14/18,ROOT,9/25/18,1.7436,1.74,1,
B68,3.7926,TOWR,3,9/14/18,WOOD,9/25/18,11.161,3.9665,1,
B37,1.7987,TOWR,3,9/14/18,MISC,9/25/18,4.0499,2.9487,1,
62SJ,1.6524,TOWR,3,9/14/18,FLWR,9/25/18,5.2467,1.9819,1,
Q5,1.7671,TOWR,3,9/14/18,MOSS,9/25/18,1.7276,1.7263,1,
B8 ,3.7378,TOWR,2,9/14/18,MISC,9/28/18,10.3591,7.6805,1,
B77,3.6486,TOWR,2,9/14/18,WOOD,9/28/18,18.0544,4.374,1,
B48,3.8524,TOWR,2,9/14/18,LEAF,9/28/18,8.9302,4.1061,1,
A06,1.8147,TOWR,2,9/14/18,ROOT,9/28/18,2.5428,1.8426,1,
A12,1.8119,TOWR,2,9/14/18,FLWR,9/28/18,7.2003,2.0008,1,
A65,1.8118,TOWR,2,9/14/18,MOSS,9/28/18,1.8138,1.8119,1,
B47,3.7246,TOWR,4,9/14/18,MISC,10/12/18,35.823,20.8298,1,
B32,3.7565,TOWR,4,9/14/18,WOOD,10/12/18,15.0018,4.8947,1,
1210-G,3.6979,TOWR,4,9/14/18,LEAF,10/12/18,3.931,3.7042,1,
SR 4-2,1.6441,TOWR,4,9/14/18,ROOT,10/12/18,18.4065,7.6975,1,
TS 2-1,1.6721,TOWR,4,9/14/18,FLWR,10/12/18,2.6352,1.758,1,
SR 1-1,1.6575,TOWR,4,9/14/18,MOSS,10/12/18,1.6613,1.6571,1,
EG,3.8375,TOWR,5,9/14/18,MISC,10/17/18,28.9584,15.8203,1,
C04,6.6727,TOWR,5,9/14/18,WOOD,10/17/18,28.6163,8.047,1,
F02,6.4845,TOWR,5,9/14/18,LEAF,10/17/18,8.0771,6.5649,1,
T03,6.578,TOWR,5,9/14/18,ROOT,10/17/18,16.328,7.3406,1,
F81,3.7258,TOWR,5,9/14/18,FLWR,10/17/18,12.2158,4.5257,1,
73SJ,1.6511,TOWR,5,9/14/18,MOSS,10/17/18,1.6626,1.6537,1,
E20,3.6631,WS55,2,10/13/18,MISC,10/22/18,7.1618,6.6564,1,
A44,1.8247,WS55,2,10/13/18,WOOD,10/22/18,3.8263,1.8834,1,
4SSJ,1.65,WS55,2,10/13/18,FLWR,10/22/18,1.8311,1.6573,1,
TS 4-2,1.6643,WS55,2,10/13/18,MOSS,10/22/18,1.6649,1.6641,1,
A93,1.7952,WS55,2,10/13/18,ROOT,10/22/18,2.1965,1.8099,1,
T10,6.5847,WS55,2,10/13/18,LEAF,10/22/18,10.078,6.775,1,
R,3.7265,WS55,5,10/13/18,MISC,10/23/18,6.9886,5.0673,1,
A07,6.6066,WS55,5,10/13/18,WOOD,10/23/18,22.51,7.3203,1,
B68,3.6767,WS55,5,10/13/18,FLWR,10/23/18,6.9417,3.9163,1,
