bag_ID,rhodo_acer,DM_start_g,DM_end_g,tin_g,tin_DM_g,tin_ash_g,date_dep,date_coll,stream,QC,hole,notes
F0020,R,1.58,1.4427,3.6384,5.0811,3.7055,12/11/17,2/8/18,WS02,,,
F0021,R,1.6,1.4047,3.5568,4.9615,3.6834,12/11/17,2/8/18,WS01,,,
F0022,R,1.57,1.4687,3.6958,5.1645,3.8182,12/11/17,2/8/18,WS01,,,
F0023,R,1.55,1.3949,3.6217,5.0166,3.711,12/11/17,2/8/18,WS01,,,
F0024,R,1.49,1.3165,3.6339,4.9504,3.7136,12/11/17,2/8/18,WS01,,,
F0025,R,1.52,1.4358,3.6482,5.084,3.7147,12/11/17,2/8/18,WS14,,,
F0026,R,1.44,1.3385,1.7441,3.0826,1.8159,12/11/17,2/8/18,WS14,,,
F0027,R,1.53,1.3727,3.5268,4.8995,3.6064,12/11/17,2/8/18,WS14,,,
F0028,R,1.55,1.4126,3.5133,4.9259,NA,12/11/17,2/8/18,WS14,,,"tin got destroyed in ashing oven, couldn't tell #"
F0029,R,1.5,1.3820,2.0206,3.4026,2.0985,12/11/17,2/8/18,WS08,,,
F0030,R,1.57,1.4103,1.7752,3.1855,1.8488,12/11/17,2/8/18,WS08,,,
F0031,R,1.41,1.2916,3.5918,4.8834,3.6813,12/11/17,2/8/18,WS08,,,
F0032,R,1.4,1.2904,3.6745,4.9649,3.7341,12/11/17,2/8/18,WS08,,,
F0033,R,1.42,1.2901,1.9466,3.2367,2.0097,12/18/17,2/8/18,WS27,,,
F0034,R,1.43,1.3153,3.5195,4.8348,3.584,12/18/17,2/8/18,WS27,,,
F0035,R,1.53,1.4101,3.6551,5.0652,3.7268,12/18/17,2/8/18,WS27,,,
F0036,R,1.43,1.3426,1.9826,3.3252,2.0873,12/18/17,2/8/18,WS27,,,
F0037,R,1.6,1.4128,1.7565,3.1693,1.8417,12/18/17,2/8/18,WS36,,,
F0038,R,1.59,1.4543,1.75,3.2043,1.8243,12/18/17,2/8/18,WS36,,,
F0039,R,1.55,1.4311,3.5039,4.935,NA,12/18/17,2/8/18,WS36,,,"tin got destroyed in ashing oven, couldn't tell #"
F0040,R,1.45,1.3234,1.7508,3.0742,1.8364,12/18/17,2/8/18,WS36,,,
F0041,R,1.48,1.3154,3.5542,4.8696,3.6225,12/18/17,2/8/18,WS31,,,
F0042,R,1.52,1.4041,3.5355,4.9396,3.6003,12/18/17,2/8/18,WS31,,,
F0043,R,1.59,1.4498,3.51,4.9598,3.5761,12/18/17,2/8/18,WS31,,,
F0044,R,1.46,1.3330,3.6393,4.9723,3.7117,12/18/17,2/8/18,WS31,,,
F0045,R,1.54,1.3773,3.5241,4.9014,3.5948,12/18/17,2/8/18,WS32,,,
F0046,R,1.45,1.3619,3.6414,5.0033,3.6992,12/18/17,2/8/18,WS32,,,
F0047,R,1.55,1.4065,3.6353,5.0418,3.7244,12/18/17,2/8/18,WS32,,,
F0048,R,1.59,1.4952,3.5591,5.0543,3.6345,12/18/17,2/8/18,WS32,,,
F0049,A,1.52,1.0611,3.527,4.5881,3.7022,12/18/17,2/8/18,WS31,,,
F0050,A,1.59,1.0263,3.6572,4.6835,3.7919,12/18/17,2/8/18,WS31,,,
F0051,A,1.42,0.9775,3.6326,4.6101,3.7917,12/18/17,2/8/18,WS31,,,
F0052,A,1.56,0.9417,3.5633,4.505,3.7055,12/18/17,2/8/18,WS31,,,
F0053,A,1.49,0.9664,3.6484,4.6148,3.7846,12/18/17,2/8/18,WS36,,,
F0054,A,1.57,0.9956,3.6509,4.6465,3.7919,12/18/17,2/8/18,WS36,,,
F0055,A,1.55,0.9289,3.6564,4.5853,3.789,12/18/17,2/8/18,WS36,,,
F0056,A,1.44,0.9539,2.0479,3.0018,2.1861,12/18/17,2/8/18,WS36,,,
F0057,A,1.49,0.9461,3.5214,4.4675,3.6269,12/18/17,2/8/18,WS27,,,
F0058,A,1.51,1.0432,1.7409,2.7841,1.841,12/18/17,2/8/18,WS27,,,
F0059,A,1.45,0.9930,3.648,4.641,3.7828,12/18/17,2/8/18,WS27,,,
F0060,A,1.44,0.8250,3.6042,4.4292,3.6954,12/18/17,2/8/18,WS27,,,
F0061,A,1.49,0.8872,2.0948,2.982,2.1681,12/18/17,2/8/18,WS32,,,
F0062,A,1.45,0.9144,3.6345,4.5489,3.7511,12/18/17,2/8/18,WS32,,,
F0063,A,1.45,1.0331,1.7378,2.7709,1.8307,12/18/17,2/8/18,WS32,,,
F0064,A,1.53,1.0757,3.6475,4.7232,3.8303,12/18/17,2/8/18,WS32,,,
F0065,A,1.54,1.1932,3.6641,4.8573,3.8486,12/11/17,2/8/18,WS08,,,
F0066,A,1.54,1.0015,2.1017,3.1032,2.3081,12/11/17,2/8/18,WS08,,,
F0067,A,1.42,0.8558,2.0003,2.8561,2.1254,12/11/17,2/8/18,WS08,,,
F0068,A,1.44,0.8028,3.5118,4.3146,3.6232,12/11/17,2/8/18,WS08,,,
F0069,A,1.51,0.8929,3.5228,4.4157,3.6202,12/11/17,2/8/18,WS02,,,
F0070,A,1.43,0.9107,3.6402,4.5509,3.7696,12/11/17,2/8/18,WS02,,,
F0071,A,1.45,0.9220,3.5422,4.4642,3.6711,12/11/17,2/8/18,WS02,,,
F0072,A,1.45,0.9489,1.7507,2.6996,1.8953,12/11/17,2/8/18,WS02,,,
F0073,A,1.42,0.6854,1.7754,2.4608,1.8783,12/11/17,2/8/18,WS01,,,
F0074,A,1.51,0.9179,3.5024,4.4203,3.6899,12/11/17,2/8/18,WS01,,,
F0075,A,1.45,1.0140,3.5203,4.5343,3.7073,12/11/17,2/8/18,WS01,,,
F0076,A,1.55,0.9424,3.6614,4.6038,3.7884,12/11/17,2/8/18,WS01,,,
F0077,A,1.51,0.9216,1.9954,2.917,2.1382,12/11/17,2/8/18,WS13,,,
F0078,A,1.42,0.9333,3.5418,4.4751,3.6778,12/11/17,2/8/18,WS13,,,
F0079,A,1.49,0.9035,3.6468,4.5503,3.7981,12/11/17,2/8/18,WS13,,,
F0080,A,1.46,0.9484,3.6329,4.5813,3.783,12/11/17,2/8/18,WS13,,,
F0081,A,1.53,0.9637,1.7676,2.7313,2.0084,12/11/17,2/8/18,WS06,,,
F0082,A,1.59,1.1202,3.6443,4.7645,3.9222,12/11/17,2/8/18,WS06,,,
F0083,A,1.5,0.9673,2.1273,3.0946,2.2743,12/11/17,2/8/18,WS06,,,
F0084,A,1.43,1.0643,3.518,4.5823,3.8562,12/11/17,2/8/18,WS06,,,
F0085,A,1.54,1.1411,3.5162,4.6573,3.9373,12/11/17,2/8/18,WS14,,,
F0086,A,1.44,0.8743,3.6609,4.5352,3.7752,12/11/17,2/8/18,WS14,,,
F0087,A,1.54,0.8921,2.0462,2.9383,2.145,12/11/17,2/8/18,WS14,,,
F0088,A,1.42,0.9005,2.051,2.9515,2.1443,12/11/17,2/8/18,WS14,,,
F0089,A,1.43,0.7801,3.6798,4.4599,3.7785,12/11/17,2/8/18,WS18,,,
