sample type,analyte,sample.day,sample.month,sample.year,sample.date,stream,stream.location,original.concentration.ugL,analysis.lab,convert.concentration.ugl
nutrients,TP,8,5,2018,5/8/18,ws55,seep,48.2,ESL,48.2
nutrients,NH4,22,5,2018,5/22/18,towr,upstream,14.4,ESL,14.4
nutrients,NH4,22,5,2018,5/22/18,towr,seep,7,ESL,7
nutrients,NH4,22,5,2018,5/22/18,ws55,seep,7.4,ESL,7.4
nutrients,NH4,22,5,2018,5/22/18,ws55,flume,0.2,ESL,0.2
nutrients,NH4,22,5,2018,5/22/18,towr,flume,1.3,ESL,1.3
nutrients,NO3,22,5,2018,5/22/18,towr,upstream,6.4,ESL,6.4
nutrients,NO3,22,5,2018,5/22/18,towr,seep,6.5,ESL,6.5
nutrients,NO3,22,5,2018,5/22/18,ws55,seep,5.9,ESL,5.9
nutrients,NO3,22,5,2018,5/22/18,ws55,flume,5.4,ESL,5.4
nutrients,NO3,22,5,2018,5/22/18,towr,flume,6,ESL,6
nutrients,SRP,22,5,2018,5/22/18,towr,upstream,7.9,ESL,7.9
nutrients,SRP,22,5,2018,5/22/18,towr,seep,4.1,ESL,4.1
nutrients,SRP,22,5,2018,5/22/18,ws55,seep,5.5,ESL,5.5
nutrients,SRP,22,5,2018,5/22/18,ws55,flume,6.7,ESL,6.7
nutrients,SRP,22,5,2018,5/22/18,towr,flume,7,ESL,7
nutrients,TN,22,5,2018,5/22/18,ws55,flume,1770,ESL,1770
nutrients,TN,22,5,2018,5/22/18,towr,flume,2210,ESL,2210
nutrients,TP,22,5,2018,5/22/18,ws55,flume,1.466666667,ESL,1.47
nutrients,TP,22,5,2018,5/22/18,towr,flume,3.866666667,ESL,3.87
nutrients,NH4,30,5,2018,5/30/18,ws55,flume,7.4,ESL,7.4
nutrients,NH4,30,5,2018,5/30/18,towr,flume,1.5,ESL,1.5
nutrients,NO3,30,5,2018,5/30/18,ws55,flume,19.7,ESL,19.7
nutrients,NO3,30,5,2018,5/30/18,towr,flume,3.6,ESL,3.6
nutrients,SRP,30,5,2018,5/30/18,ws55,flume,12.2,ESL,12.2
nutrients,SRP,30,5,2018,5/30/18,towr,flume,11.9,ESL,11.9
