"","stream","start_date","end_date","mean_temp","sd_temp","deployment","days_in_record"
"100","WS55",2018-08-31,2018-11-02,15.9283382161458,1.88735805452423,1,64
"101","WS55",2018-09-28,2018-12-05,13.335483544686,2.36307613639167,2,69
"102","WS55",2018-11-02,2019-01-07,11.2214575559702,1.04850026696445,3,67
"103","WS55",2018-12-05,2019-02-06,10.5517456054688,0.786349969788853,4,64
"104","WS55",2019-01-07,2019-03-06,10.7420314265537,0.777036799734516,5,59
"105","WS55",2019-02-06,2019-04-03,11.2538050073099,0.487908386107107,6,57
"106","WS55",2019-03-06,2019-05-08,12.2125520833333,1.00313804740783,7,64
"107","WS55",2019-04-03,2019-06-05,13.5649464518229,0.956847887330029,8,64
"108","WS55",2019-05-08,2019-07-10,15.1057836914062,0.999108372363296,9,64
"109","WS55",2019-06-05,2019-08-07,16.249173828125,0.858995262930832,10,64
"110","WS55",2019-07-10,2019-08-30,17.2866245951417,0.513568959454158,11,52
